timestamp,vol_portfolio
2010-08-30 00:00:00+00:00,
2010-08-31 00:00:00+00:00,
2010-09-01 00:00:00+00:00,
2010-09-02 00:00:00+00:00,
2010-09-03 00:00:00+00:00,
2010-09-05 00:00:00+00:00,
2010-09-06 00:00:00+00:00,
2010-09-07 00:00:00+00:00,
2010-09-08 00:00:00+00:00,
2010-09-09 00:00:00+00:00,
2010-09-10 00:00:00+00:00,
2010-09-12 00:00:00+00:00,
2010-09-13 00:00:00+00:00,
2010-09-14 00:00:00+00:00,
2010-09-15 00:00:00+00:00,
2010-09-16 00:00:00+00:00,
2010-09-17 00:00:00+00:00,
2010-09-19 00:00:00+00:00,
2010-09-20 00:00:00+00:00,
2010-09-21 00:00:00+00:00,
2010-09-22 00:00:00+00:00,0.002969917
2010-09-23 00:00:00+00:00,0.002831656
2010-09-24 00:00:00+00:00,0.002831553
2010-09-26 00:00:00+00:00,0.002737265
2010-09-27 00:00:00+00:00,0.002678319
2010-09-28 00:00:00+00:00,0.002703003
2010-09-29 00:00:00+00:00,0.002703122
2010-09-30 00:00:00+00:00,0.002809505
2010-10-01 00:00:00+00:00,0.002777061
2010-10-03 00:00:00+00:00,0.002568827
2010-10-04 00:00:00+00:00,0.002639017
2010-10-05 00:00:00+00:00,0.002616588
2010-10-06 00:00:00+00:00,0.002633257
2010-10-07 00:00:00+00:00,0.002676979
2010-10-08 00:00:00+00:00,0.002641557
2010-10-10 00:00:00+00:00,0.001739372
2010-10-11 00:00:00+00:00,0.001513292
2010-10-12 00:00:00+00:00,0.001516048
2010-10-13 00:00:00+00:00,0.001644656
2010-10-14 00:00:00+00:00,0.001588312
2010-10-15 00:00:00+00:00,0.001600126
2010-10-17 00:00:00+00:00,0.001582697
2010-10-18 00:00:00+00:00,0.001725064
2010-10-19 00:00:00+00:00,0.002179335
2010-10-20 00:00:00+00:00,0.002388908
2010-10-21 00:00:00+00:00,0.002427924
2010-10-22 00:00:00+00:00,0.002445061
2010-10-24 00:00:00+00:00,0.002444995
2010-10-25 00:00:00+00:00,0.002442528
2010-10-26 00:00:00+00:00,0.002474238
2010-10-27 00:00:00+00:00,0.00260235
2010-10-28 00:00:00+00:00,0.002485318
2010-10-29 00:00:00+00:00,0.002519721
2010-10-31 00:00:00+00:00,0.002536622
2010-11-01 00:00:00+00:00,0.002541338
2010-11-02 00:00:00+00:00,0.002622037
2010-11-03 00:00:00+00:00,0.002622149
2010-11-04 00:00:00+00:00,0.002900746
2010-11-05 00:00:00+00:00,0.00298033
2010-11-07 00:00:00+00:00,0.002907672
2010-11-08 00:00:00+00:00,0.002907724
